iter	Passed	Remaining
0	57	57535
1	58	28993
2	58	19555
3	59	14773
4	59	11889
5	60	9969
6	60	8603
7	60	7560
8	61	6771
9	61	6125
10	63	5681
11	63	5243
12	64	4862
13	64	4557
14	65	4288
15	66	4082
16	66	3858
17	67	3662
18	67	3500
19	68	3341
20	68	3203
21	69	3076
22	69	2960
23	70	2856
24	70	2756
25	71	2665
26	71	2583
27	72	2505
28	72	2433
29	73	2362
30	73	2295
31	73	2236
32	74	2177
33	74	2129
34	75	2077
35	75	2032
36	76	1988
37	76	1942
38	77	1903
39	77	1866
40	78	1827
41	78	1794
42	79	1760
43	79	1729
44	79	1697
45	80	1668
46	81	1643
47	81	1616
48	81	1591
49	82	1565
50	82	1543
51	83	1522
52	83	1500
53	84	1481
54	85	1462
55	85	1444
56	86	1423
57	86	1405
58	87	1388
59	87	1370
60	87	1351
61	88	1335
62	88	1318
63	89	1303
64	89	1287
65	89	1272
66	90	1258
67	90	1241
68	91	1229
69	91	1217
70	92	1205
71	92	1194
72	93	1182
73	93	1170
74	93	1157
75	94	1145
76	94	1136
77	95	1125
78	95	1115
79	96	1104
80	96	1096
81	96	1085
82	97	1082
83	98	1071
84	98	1060
85	98	1050
86	99	1039
87	99	1031
88	100	1023
89	100	1015
90	100	1008
91	101	1001
92	102	996
93	102	989
94	103	981
95	103	975
96	104	968
97	104	961
98	104	954
99	105	949
100	105	943
101	106	935
102	106	927
103	106	920
104	107	915
105	107	909
106	108	909
107	109	903
108	109	898
109	110	892
110	110	888
111	111	883
112	111	878
113	112	872
114	112	867
115	112	860
116	113	856
117	114	852
118	114	846
119	114	841
120	115	836
121	115	831
122	115	824
123	116	820
124	116	815
125	117	812
126	117	809
127	118	805
128	118	801
129	119	796
130	119	792
131	120	789
132	120	785
133	121	782
134	121	779
135	122	775
136	122	770
137	122	766
138	123	762
139	123	759
140	124	756
141	124	754
142	125	751
143	125	748
144	126	745
145	126	741
146	127	738
147	127	735
148	128	732
149	128	728
150	129	728
151	130	725
152	130	722
153	131	719
154	131	717
155	132	715
156	132	712
157	132	708
158	133	704
159	133	700
160	133	696
161	134	696
162	135	696
163	136	693
164	136	691
165	137	689
166	137	687
167	138	685
168	138	682
169	139	679
170	139	676
171	140	674
172	140	671
173	140	668
174	141	665
175	141	663
176	142	660
177	142	658
178	142	655
179	143	653
180	143	650
181	144	648
182	144	645
183	145	643
184	145	642
185	146	640
186	147	639
187	147	636
188	147	634
189	148	631
190	148	629
191	149	627
192	149	624
193	149	622
194	150	620
195	150	617
196	151	615
197	151	614
198	152	611
199	152	609
200	152	608
201	153	606
202	153	603
203	154	601
204	154	599
205	155	597
206	155	595
207	155	593
208	156	591
209	156	589
210	157	587
211	157	586
212	158	584
213	158	581
214	158	579
215	159	577
216	159	575
217	159	573
218	160	571
219	160	569
220	161	567
221	161	565
222	162	564
223	162	562
224	163	562
225	163	561
226	164	559
227	164	557
228	164	555
229	165	553
230	165	551
231	166	549
232	166	548
233	166	546
234	167	545
235	168	545
236	168	543
237	169	542
238	169	540
239	170	538
240	170	537
241	170	534
242	171	533
243	171	531
244	172	530
245	172	528
246	173	528
247	173	526
248	174	524
249	174	523
250	175	522
251	175	520
252	175	518
253	176	517
254	176	515
255	177	514
256	177	513
257	177	511
258	178	510
259	178	509
260	179	507
261	179	506
262	180	505
263	180	503
264	180	501
265	181	500
266	181	499
267	182	497
268	182	496
269	183	496
270	184	495
271	184	494
272	185	492
273	185	491
274	185	489
275	186	488
276	186	487
277	187	485
278	187	484
279	187	482
280	188	481
281	188	480
282	188	478
283	189	477
284	189	476
285	190	474
286	190	473
287	191	472
288	191	470
289	191	469
290	192	468
291	192	466
292	192	465
293	193	464
294	193	462
295	194	461
296	194	460
297	194	459
298	195	458
299	196	457
300	196	456
301	196	454
302	197	453
303	197	452
304	198	451
305	198	450
306	198	449
307	199	447
308	199	446
309	200	445
310	200	444
311	201	443
312	201	442
313	201	441
314	202	440
315	202	438
316	203	437
317	203	436
318	203	435
319	204	434
320	204	432
321	205	431
322	205	430
323	205	429
324	206	428
325	206	427
326	207	426
327	207	425
328	208	424
329	208	423
330	208	422
331	209	421
332	209	420
333	210	420
334	211	419
335	211	418
336	212	417
337	212	416
338	213	415
339	213	414
340	213	413
341	215	413
342	215	412
343	215	411
344	216	410
345	216	409
346	216	408
347	217	407
348	217	406
349	218	405
350	218	403
351	218	403
352	219	401
353	219	401
354	220	400
355	220	398
356	220	397
357	221	397
358	221	396
359	222	395
360	222	394
361	223	393
362	223	392
363	223	391
364	224	390
365	224	389
366	225	388
367	225	387
368	225	386
369	226	385
370	227	385
371	227	384
372	228	383
373	228	382
374	228	381
375	229	380
376	229	379
377	230	378
378	230	377
379	230	376
380	231	375
381	231	374
382	231	373
383	232	372
384	232	371
385	233	370
386	233	369
387	234	369
388	234	368
389	234	367
390	235	366
391	235	365
392	236	364
393	236	363
394	236	362
395	237	361
396	237	361
397	238	360
398	238	359
399	238	358
400	239	357
401	239	356
402	240	355
403	240	354
404	240	354
405	241	353
406	241	352
407	242	351
408	242	350
409	242	349
410	243	348
411	243	347
412	244	347
413	244	346
414	245	345
415	245	344
416	246	344
417	246	343
418	246	342
419	247	341
420	247	340
421	248	339
422	248	338
423	248	338
424	249	337
425	249	336
426	249	335
427	250	334
428	250	333
429	251	333
430	251	332
431	252	331
432	252	330
433	253	330
434	253	329
435	253	328
436	254	327
437	254	326
438	255	326
439	255	325
440	255	324
441	256	323
442	256	322
443	257	322
444	257	321
445	257	320
446	258	319
447	258	318
448	259	318
449	259	317
450	260	316
451	260	315
452	260	314
453	261	314
454	261	313
455	262	312
456	262	311
457	262	311
458	263	310
459	263	309
460	263	308
461	264	307
462	264	307
463	265	306
464	265	305
465	265	304
466	266	304
467	266	303
468	267	302
469	267	302
470	268	301
471	268	300
472	269	299
473	269	299
474	269	298
475	270	297
476	270	296
477	271	296
478	271	295
479	271	294
480	272	293
481	272	293
482	273	292
483	273	291
484	274	291
485	274	290
486	275	289
487	275	288
488	275	288
489	276	287
490	276	287
491	277	286
492	277	285
493	278	285
494	278	284
495	279	283
496	279	283
497	280	282
498	280	281
499	281	281
500	281	280
501	281	279
502	282	278
503	282	278
504	282	277
505	283	276
506	283	275
507	284	275
508	284	274
509	284	273
510	285	272
511	285	272
512	285	271
513	286	270
514	286	270
515	287	269
516	287	268
517	288	268
518	288	267
519	289	266
520	289	266
521	290	265
522	290	265
523	291	264
524	291	263
525	291	263
526	292	262
527	292	261
528	293	261
529	293	260
530	294	259
531	294	258
532	294	258
533	295	257
534	295	257
535	296	256
536	296	255
537	297	255
538	297	254
539	298	253
540	298	253
541	299	252
542	299	252
543	299	251
544	300	250
545	300	250
546	301	249
547	301	248
548	301	248
549	302	247
550	302	246
551	303	246
552	303	245
553	304	244
554	304	244
555	304	243
556	305	242
557	305	242
558	306	241
559	306	240
560	306	240
561	307	239
562	307	238
563	308	238
564	308	237
565	309	236
566	309	236
567	309	235
568	310	234
569	310	234
570	310	233
571	311	233
572	311	232
573	312	231
574	312	231
575	313	230
576	313	229
577	314	229
578	314	228
579	314	228
580	315	227
581	315	226
582	316	226
583	316	225
584	316	224
585	317	224
586	317	223
587	317	222
588	318	222
589	318	221
590	319	220
591	319	220
592	319	219
593	320	218
594	320	218
595	321	217
596	321	217
597	322	216
598	322	215
599	322	215
600	323	214
601	323	214
602	324	213
603	324	212
604	325	212
605	325	211
606	325	210
607	326	210
608	326	209
609	327	209
610	327	208
611	328	207
612	328	207
613	328	206
614	329	206
615	329	205
616	330	204
617	330	204
618	330	203
619	331	203
620	331	202
621	332	201
622	332	201
623	333	200
624	333	200
625	334	199
626	334	198
627	334	198
628	335	197
629	335	197
630	336	196
631	336	195
632	336	195
633	337	194
634	337	194
635	337	193
636	338	192
637	338	192
638	339	191
639	340	191
640	340	190
641	341	190
642	341	189
643	341	189
644	342	188
645	342	187
646	343	187
647	343	186
648	344	186
649	344	185
650	344	184
651	345	184
652	345	183
653	346	183
654	346	182
655	347	181
656	347	181
657	347	180
658	348	180
659	348	179
660	349	179
661	349	178
662	349	177
663	350	177
664	350	176
665	351	176
666	351	175
667	352	174
668	352	174
669	352	173
670	353	173
671	353	172
672	353	171
673	354	171
674	354	170
675	355	170
676	355	169
677	356	169
678	356	168
679	356	167
680	357	167
681	357	166
682	357	166
683	358	165
684	358	164
685	359	164
686	359	163
687	359	163
688	360	162
689	360	162
690	361	161
691	361	160
692	362	160
693	362	159
694	362	159
695	363	158
696	363	158
697	364	157
698	364	157
699	365	156
700	365	155
701	366	155
702	366	154
703	367	154
704	367	153
705	367	153
706	368	152
707	368	152
708	368	151
709	369	150
710	369	150
711	370	149
712	370	149
713	370	148
714	371	148
715	371	147
716	372	146
717	372	146
718	373	145
719	373	145
720	373	144
721	374	144
722	374	143
723	375	143
724	375	142
725	376	141
726	376	141
727	376	140
728	377	140
729	378	139
730	378	139
731	378	138
732	379	138
733	379	137
734	379	137
735	380	136
736	380	135
737	381	135
738	381	134
739	381	134
740	382	133
741	382	133
742	382	132
743	383	131
744	383	131
745	383	130
746	383	129
747	384	129
748	384	128
749	384	128
750	384	127
751	385	126
752	385	126
753	385	125
754	385	125
755	385	124
756	386	123
757	386	123
758	386	122
759	387	122
760	388	121
761	388	121
762	388	120
763	389	120
764	389	119
765	390	119
766	390	118
767	391	118
768	391	117
769	392	117
770	392	116
771	393	116
772	393	115
773	393	114
774	394	114
775	394	113
776	395	113
777	395	112
778	396	112
779	396	111
780	396	111
781	397	110
782	397	110
783	398	109
784	398	109
785	398	108
786	399	108
787	399	107
788	400	107
789	400	106
790	401	106
791	402	105
792	402	105
793	403	104
794	403	104
795	403	103
796	404	102
797	404	102
798	405	101
799	405	101
800	405	100
801	406	100
802	406	99
803	407	99
804	407	98
805	408	98
806	408	97
807	409	97
808	409	96
809	410	96
810	410	95
811	411	95
812	411	94
813	412	94
814	412	93
815	412	93
816	413	92
817	413	91
818	413	91
819	414	90
820	414	90
821	414	89
822	415	89
823	415	88
824	416	88
825	416	87
826	416	87
827	417	86
828	417	86
829	418	85
830	418	85
831	419	84
832	420	84
833	420	83
834	421	83
835	421	82
836	422	82
837	422	81
838	422	81
839	423	80
840	423	80
841	424	79
842	424	79
843	424	78
844	425	78
845	425	77
846	426	76
847	426	76
848	427	75
849	427	75
850	427	74
851	428	74
852	428	73
853	429	73
854	429	72
855	430	72
856	430	71
857	430	71
858	431	70
859	431	70
860	431	69
861	432	69
862	432	68
863	433	68
864	433	67
865	434	67
866	434	66
867	434	66
868	435	65
869	435	65
870	436	64
871	436	64
872	437	63
873	437	63
874	438	62
875	439	62
876	439	61
877	440	61
878	440	60
879	441	60
880	441	59
881	441	59
882	442	58
883	442	58
884	442	57
885	443	57
886	443	56
887	444	56
888	444	55
889	445	55
890	445	54
891	446	54
892	446	53
893	446	52
894	447	52
895	447	51
896	447	51
897	448	50
898	448	50
899	449	49
900	449	49
901	449	48
902	450	48
903	450	47
904	451	47
905	451	46
906	452	46
907	452	45
908	453	45
909	453	44
910	453	44
911	454	43
912	454	43
913	455	42
914	455	42
915	456	41
916	456	41
917	456	40
918	457	40
919	457	39
920	458	39
921	458	38
922	459	38
923	459	37
924	459	37
925	460	36
926	460	36
927	461	35
928	461	35
929	461	34
930	462	34
931	462	33
932	463	33
933	463	32
934	463	32
935	464	31
936	464	31
937	465	30
938	465	30
939	465	29
940	466	29
941	466	28
942	467	28
943	467	27
944	468	27
945	468	26
946	468	26
947	469	25
948	469	25
949	470	24
950	470	24
951	470	23
952	471	23
953	471	22
954	472	22
955	472	21
956	473	21
957	473	20
958	473	20
959	474	19
960	474	19
961	475	18
962	475	18
963	475	17
964	476	17
965	476	16
966	477	16
967	477	15
968	478	15
969	478	14
970	478	14
971	479	13
972	479	13
973	480	12
974	480	12
975	481	11
976	481	11
977	481	10
978	482	10
979	482	9
980	483	9
981	483	8
982	483	8
983	484	7
984	484	7
985	485	6
986	485	6
987	485	5
988	486	5
989	486	4
990	487	4
991	487	3
992	487	3
993	488	2
994	488	2
995	489	1
996	489	1
997	489	0
998	490	0
999	490	0
