iter	Passed	Remaining
0	57	57172
1	57	28878
2	58	19410
3	58	14648
4	59	11814
5	59	9920
6	60	8544
7	60	7523
8	61	6719
9	61	6092
10	61	5569
11	62	5157
12	62	4781
13	63	4463
14	63	4196
15	64	3954
16	64	3739
17	65	3548
18	65	3381
19	65	3231
20	66	3097
21	67	2982
22	67	2866
23	68	2766
24	68	2676
25	69	2585
26	69	2499
27	69	2420
28	70	2351
29	70	2283
30	70	2218
31	71	2159
32	71	2107
33	72	2060
34	72	2010
35	73	1962
36	73	1916
37	74	1876
38	74	1837
39	75	1803
40	75	1767
41	76	1739
42	76	1709
43	77	1681
44	77	1652
45	78	1623
46	78	1595
47	79	1574
48	79	1548
49	80	1524
50	80	1501
51	81	1481
52	81	1458
53	82	1437
54	82	1418
55	83	1401
56	83	1381
57	83	1362
58	84	1344
59	84	1328
60	85	1311
61	85	1296
62	86	1283
63	86	1268
64	87	1254
65	87	1240
66	88	1226
67	88	1212
68	88	1198
69	89	1186
70	89	1176
71	90	1163
72	90	1153
73	91	1143
74	91	1132
75	92	1122
76	92	1111
77	93	1101
78	93	1090
79	94	1081
80	94	1070
81	94	1059
82	94	1046
83	95	1036
84	95	1029
85	96	1023
86	96	1016
87	97	1009
88	97	1001
89	98	994
90	99	989
91	99	981
92	100	975
93	100	969
94	101	963
95	101	957
96	102	951
97	102	945
98	103	940
99	103	933
100	104	927
101	104	922
102	105	917
103	105	912
104	106	907
105	106	901
106	107	895
107	107	890
108	108	886
109	108	880
110	109	876
111	110	872
112	110	867
113	111	864
114	111	858
115	112	859
116	113	854
117	113	849
118	114	845
119	115	844
120	115	840
121	116	836
122	116	833
123	117	828
124	117	824
125	118	821
126	118	817
127	119	812
128	119	808
129	120	805
130	120	802
131	121	798
132	121	795
133	122	791
134	122	786
135	123	783
136	123	779
137	124	775
138	124	771
139	124	766
140	125	765
141	125	760
142	126	756
143	126	754
144	127	751
145	128	748
146	128	746
147	129	742
148	129	739
149	129	736
150	130	736
151	132	737
152	132	733
153	132	730
154	133	728
155	134	725
156	134	722
157	135	719
158	135	716
159	136	714
160	136	710
161	136	707
162	137	704
163	138	706
164	139	703
165	139	700
166	139	697
167	140	697
168	141	694
169	141	692
170	142	689
171	142	687
172	143	685
173	143	682
174	144	679
175	144	676
176	144	674
177	145	671
178	145	669
179	146	665
180	146	663
181	147	661
182	147	658
183	147	656
184	148	653
185	148	650
186	149	648
187	149	645
188	149	643
189	150	641
190	150	638
191	151	636
192	151	633
193	152	632
194	152	630
195	153	628
196	153	625
197	153	623
198	154	621
199	154	619
200	155	616
201	155	614
202	155	612
203	156	610
204	156	607
205	157	605
206	157	603
207	158	601
208	158	599
209	158	597
210	159	595
211	159	593
212	160	592
213	160	590
214	161	588
215	161	585
216	161	584
217	162	581
218	162	579
219	163	577
220	163	575
221	164	576
222	164	574
223	165	572
224	165	570
225	166	568
226	166	567
227	167	565
228	167	563
229	167	562
230	168	560
231	168	558
232	169	557
233	169	555
234	170	553
235	170	552
236	171	551
237	171	549
238	171	547
239	172	545
240	172	544
241	173	542
242	173	541
243	174	539
244	174	538
245	175	537
246	175	536
247	176	534
248	176	533
249	177	532
250	177	530
251	178	529
252	178	527
253	179	526
254	179	525
255	180	524
256	180	523
257	181	521
258	181	520
259	182	519
260	182	518
261	183	516
262	183	515
263	184	513
264	184	512
265	185	510
266	185	509
267	185	507
268	186	506
269	186	504
270	187	503
271	187	502
272	188	500
273	188	499
274	188	497
275	189	496
276	189	495
277	190	495
278	191	493
279	192	494
280	192	493
281	193	491
282	193	490
283	194	489
284	195	489
285	195	488
286	196	487
287	196	486
288	197	484
289	197	483
290	197	482
291	198	481
292	198	479
293	199	478
294	199	477
295	200	476
296	200	474
297	200	473
298	201	471
299	201	470
300	202	469
301	202	468
302	203	467
303	203	465
304	203	464
305	204	463
306	204	461
307	204	460
308	205	459
309	205	457
310	206	456
311	206	455
312	207	454
313	207	453
314	207	452
315	208	450
316	208	449
317	208	448
318	209	446
319	209	445
320	210	444
321	210	443
322	210	442
323	211	441
324	211	439
325	212	438
326	212	437
327	213	436
328	213	435
329	214	434
330	214	433
331	214	432
332	215	431
333	215	430
334	216	428
335	216	427
336	216	426
337	217	425
338	217	424
339	217	423
340	218	422
341	218	420
342	219	419
343	219	418
344	220	417
345	220	416
346	221	415
347	221	415
348	221	413
349	222	412
350	222	411
351	223	410
352	223	409
353	223	408
354	224	407
355	224	406
356	225	405
357	225	404
358	226	403
359	226	402
360	226	401
361	227	400
362	227	399
363	228	398
364	228	397
365	229	396
366	229	395
367	230	395
368	230	394
369	230	392
370	231	391
371	231	390
372	231	389
373	232	389
374	233	388
375	233	387
376	233	386
377	234	385
378	234	384
379	235	384
380	236	383
381	236	382
382	237	381
383	237	380
384	237	379
385	238	378
386	238	377
387	239	377
388	239	376
389	239	375
390	240	374
391	240	373
392	241	372
393	241	372
394	242	371
395	243	370
396	243	369
397	243	368
398	244	368
399	244	367
400	245	366
401	245	365
402	246	364
403	246	363
404	247	362
405	247	361
406	247	360
407	248	359
408	248	359
409	249	358
410	249	357
411	249	356
412	250	355
413	250	355
414	251	354
415	251	353
416	252	352
417	252	351
418	253	350
419	253	350
420	254	349
421	254	348
422	255	347
423	255	347
424	255	346
425	256	345
426	256	344
427	257	343
428	257	343
429	258	342
430	258	341
431	259	340
432	259	339
433	259	339
434	260	338
435	260	337
436	261	336
437	261	335
438	261	334
439	262	333
440	262	333
441	263	332
442	263	331
443	263	330
444	264	329
445	264	328
446	265	328
447	265	327
448	265	326
449	266	325
450	266	324
451	267	324
452	267	323
453	268	322
454	268	322
455	269	321
456	269	320
457	270	319
458	270	319
459	271	318
460	271	317
461	272	316
462	272	316
463	272	315
464	273	314
465	273	313
466	274	312
467	274	312
468	275	311
469	275	310
470	275	309
471	276	308
472	276	308
473	276	307
474	277	306
475	277	305
476	278	305
477	278	304
478	279	303
479	279	302
480	280	302
481	280	301
482	280	300
483	281	299
484	281	299
485	282	298
486	282	297
487	282	296
488	283	296
489	283	295
490	284	294
491	284	293
492	284	293
493	285	292
494	286	291
495	286	291
496	287	290
497	287	289
498	287	288
499	288	288
500	288	287
501	289	286
502	289	286
503	290	285
504	290	284
505	290	284
506	291	283
507	291	282
508	292	282
509	292	281
510	293	280
511	293	279
512	294	279
513	294	278
514	295	277
515	295	277
516	295	276
517	296	275
518	296	275
519	298	275
520	298	274
521	298	273
522	299	272
523	299	272
524	300	271
525	300	271
526	301	270
527	301	269
528	302	268
529	302	268
530	302	267
531	303	266
532	303	265
533	304	265
534	304	264
535	304	263
536	305	263
537	305	262
538	306	261
539	306	261
540	306	260
541	307	259
542	307	259
543	308	258
544	308	257
545	308	256
546	309	256
547	309	255
548	310	254
549	310	254
550	311	253
551	311	252
552	311	252
553	312	251
554	312	250
555	313	250
556	313	249
557	314	248
558	314	248
559	315	247
560	315	246
561	315	246
562	316	245
563	317	245
564	317	244
565	318	243
566	318	243
567	319	242
568	319	242
569	319	241
570	320	240
571	320	240
572	321	239
573	321	238
574	322	238
575	322	237
576	323	236
577	323	236
578	323	235
579	324	234
580	324	234
581	324	233
582	325	232
583	325	232
584	326	231
585	326	230
586	327	230
587	327	229
588	328	228
589	328	228
590	329	227
591	329	227
592	330	226
593	330	225
594	331	225
595	331	224
596	332	224
597	332	223
598	332	222
599	333	222
600	333	221
601	333	220
602	334	220
603	334	219
604	335	218
605	335	218
606	335	217
607	336	216
608	336	216
609	337	215
610	337	214
611	338	214
612	338	213
613	339	213
614	339	212
615	340	212
616	340	211
617	341	210
618	341	210
619	341	209
620	342	208
621	342	208
622	343	207
623	343	206
624	343	206
625	344	205
626	344	205
627	345	204
628	345	203
629	345	203
630	346	202
631	346	201
632	347	201
633	347	200
634	348	200
635	348	199
636	349	198
637	349	198
638	349	197
639	350	196
640	350	196
641	350	195
642	351	195
643	351	194
644	352	193
645	352	193
646	353	192
647	353	192
648	353	191
649	354	190
650	354	190
651	355	189
652	355	188
653	356	188
654	356	187
655	356	187
656	357	186
657	357	185
658	358	185
659	358	184
660	359	184
661	359	183
662	359	182
663	360	182
664	360	181
665	361	181
666	361	180
667	361	179
668	362	179
669	362	178
670	363	178
671	363	177
672	363	176
673	364	176
674	364	175
675	365	175
676	365	174
677	365	173
678	366	173
679	366	172
680	366	171
681	367	171
682	367	170
683	368	170
684	368	169
685	368	168
686	369	168
687	369	167
688	370	167
689	370	166
690	370	165
691	371	165
692	371	164
693	372	164
694	372	163
695	372	162
696	373	162
697	373	161
698	374	161
699	374	160
700	375	160
701	375	159
702	376	158
703	376	158
704	376	157
705	377	157
706	377	156
707	378	155
708	378	155
709	378	154
710	379	154
711	379	153
712	380	153
713	381	152
714	381	152
715	381	151
716	382	150
717	382	150
718	382	149
719	383	149
720	383	148
721	384	147
722	384	147
723	385	146
724	385	146
725	385	145
726	386	145
727	386	144
728	387	143
729	387	143
730	388	142
731	388	142
732	388	141
733	389	141
734	389	140
735	390	139
736	390	139
737	391	138
738	391	138
739	391	137
740	392	137
741	392	136
742	393	136
743	393	135
744	394	134
745	394	134
746	394	133
747	395	133
748	395	132
749	396	132
750	396	131
751	396	130
752	397	130
753	397	129
754	398	129
755	398	128
756	398	128
757	399	127
758	399	126
759	399	126
760	400	125
761	400	125
762	401	124
763	401	124
764	402	123
765	402	122
766	402	122
767	403	121
768	403	121
769	404	120
770	404	120
771	404	119
772	405	119
773	405	118
774	406	117
775	406	117
776	406	116
777	407	116
778	407	115
779	408	115
780	408	114
781	409	114
782	409	113
783	409	112
784	410	112
785	410	111
786	411	111
787	411	110
788	412	110
789	412	109
790	413	109
791	413	108
792	413	108
793	414	107
794	415	107
795	415	106
796	416	106
797	416	105
798	417	104
799	417	104
800	418	103
801	418	103
802	419	102
803	419	102
804	419	101
805	420	101
806	420	100
807	421	100
808	421	99
809	422	99
810	422	98
811	423	98
812	423	97
813	424	96
814	424	96
815	425	95
816	426	95
817	426	94
818	427	94
819	427	93
820	428	93
821	428	92
822	428	92
823	429	91
824	429	91
825	430	90
826	430	90
827	431	89
828	431	89
829	432	88
830	432	87
831	432	87
832	433	86
833	434	86
834	435	85
835	435	85
836	436	84
837	436	84
838	437	83
839	437	83
840	438	82
841	438	82
842	439	81
843	439	81
844	440	80
845	440	80
846	441	79
847	441	79
848	442	78
849	442	78
850	443	77
851	444	77
852	444	76
853	445	76
854	445	75
855	446	75
856	446	74
857	447	74
858	447	73
859	448	72
860	448	72
861	448	71
862	449	71
863	449	70
864	450	70
865	450	69
866	451	69
867	451	68
868	452	68
869	452	67
870	452	67
871	453	66
872	454	66
873	454	65
874	455	65
875	455	64
876	456	63
877	456	63
878	457	62
879	457	62
880	458	61
881	458	61
882	458	60
883	459	60
884	459	59
885	460	59
886	460	58
887	460	58
